# ghouls_x68k_midi_loops: see REBUILDING.md
song	source_ls	source_le	pack_ls	pack_le	evidence
song09	1001738	2003475	953728	1955456	embedded global MIDI loop; Time-Out Warning
song0c	3955447	7368777	3907424	7320768	embedded global MIDI loop; Stage 1
song0d	1396022	2533799	1348000	2485792	embedded global MIDI loop; Stage 1 Boss
song0e	2618179	5236358	2570176	5188352	embedded global MIDI loop; Stage 2
song0f	1035504	2071007	987488	2022976	embedded global MIDI loop; Stage 2 Boss
song10	3797821	7595642	3749792	7547616	embedded global MIDI loop; Stage 3
song11	2010199	4020397	1962176	3972384	embedded global MIDI loop; Stage 3 Boss
song12	3692071	7292112	3644064	7244096	embedded global MIDI loop; Stage 4
song13	2559996	3839994	2511968	3791968	embedded global MIDI loop; Stage 4 Boss
song14	2838257	4925210	2790240	4877184	embedded global MIDI loop; Stage 5
song15	1137777	2275553	1089760	2227552	embedded global MIDI loop; Stage 5 Boss
song16	3741535	7483069	3693504	7435040	embedded global MIDI loop; Final Boss
song19	7289978	10950535	7241952	10902528	embedded global MIDI loop; Ending variant A
song1a	7289978	10950535	7241952	10902528	embedded global MIDI loop; Ending variant B
