cmd	name	in_game	set	afs_entry	afs_name	vol	size_bytes	dur_s	rate	ch	loop	loop_start_sample	loop_end_sample	total_samples
0x00		sound-test-only	CPS2	70	___blank___.adx	0x00	54058	1.00	48000	2	0	0	0	48000
0x00		sound-test-only	CPS1	139	___blank___.adx	0x00	54058	1.00	48000	2	0	0	0	48000
0x01	STAGE KEN	yes	ARRANGE	1	arg_01.adx	0x68	4294656	79.51	48000	2	1	685952	3742399	3816271
0x01	STAGE KEN	yes	CPS2	71	CPS2_01.adx	0x58	3770368	69.75	48000	2	1	508128	3347411	3348098
0x01	STAGE KEN	yes	CPS1	140	fm_01.adx	0x74	3717120	68.78	48000	2	1	523040	3231125	3301406
0x02	STAGE RYU	yes	ARRANGE	2	arg_02.adx	0x68	3172352	58.70	48000	2	1	278784	2774336	2817627
0x02	STAGE RYU	yes	CPS2	72	CPS2_02.adx	0x58	3008512	55.68	48000	2	1	344960	2672063	2672797
0x02	STAGE RYU	yes	CPS1	141	fm_02.adx	0x70	2744320	50.77	48000	2	1	186880	2429130	2437122
0x03	STAGE E.HONDA	yes	ARRANGE	3	arg_03.adx	0x6c	3864576	71.52	48000	2	1	484672	3391979	3432843
0x03	STAGE E.HONDA	yes	CPS2	73	CPS2_03.adx	0x58	3543040	65.55	48000	2	1	286208	3145629	3146272
0x03	STAGE E.HONDA	yes	CPS1	142	fm_03.adx	0x70	3633152	67.24	48000	2	1	438304	3211108	3227667
0x04	STAGE CHUN LI	yes	ARRANGE	4	arg_04.adx	0x68	3553280	65.75	48000	2	1	521280	3122275	3156129
0x04	STAGE CHUN LI	yes	CPS2	74	CPS2_04.adx	0x58	2990080	55.33	48000	2	1	167008	2654947	2655635
0x04	STAGE CHUN LI	yes	CPS1	143	fm_04.adx	0x70	3035136	56.15	48000	2	1	166528	2657901	2695177
0x05	STAGE BLANKA	yes	ARRANGE	5	arg_05.adx	0x68	3547136	65.67	48000	2	1	494528	3130225	3151983
0x05	STAGE BLANKA	yes	CPS2	75	CPS2_05.adx	0x58	3287040	60.83	48000	2	1	359776	2919064	2919688
0x05	STAGE BLANKA	yes	CPS1	144	fm_05.adx	0x70	3164160	58.54	48000	2	1	308128	2771021	2809875
0x06	STAGE ZANGIEF	yes	ARRANGE	6	arg_06.adx	0x70	3663872	67.80	48000	2	1	894656	3218662	3254538
0x06	STAGE ZANGIEF	yes	CPS2	76	CPS2_06.adx	0x58	3115008	57.65	48000	2	1	446400	2766558	2767287
0x06	STAGE ZANGIEF	yes	CPS1	145	fm_06.adx	0x70	3356672	62.12	48000	2	1	690368	2934146	2981889
0x07	STAGE GUILE	yes	ARRANGE	7	arg_07.adx	0x68	4421632	81.83	48000	2	1	612544	3907170	3927724
0x07	STAGE GUILE	yes	CPS2	77	CPS2_07.adx	0x58	3971072	73.51	48000	2	1	286720	3527762	3528408
0x07	STAGE GUILE	yes	CPS1	146	fm_07.adx	0x70	4194304	77.65	48000	2	1	554752	3696657	3727362
0x08	STAGE DHALSIM	yes	ARRANGE	8	arg_08.adx	0x68	3684352	68.17	48000	2	1	649920	3248380	3272356
0x08	STAGE DHALSIM	yes	CPS2	78	CPS2_08.adx	0x58	2971648	55.01	48000	2	1	79968	2639716	2640408
0x08	STAGE DHALSIM	yes	CPS1	147	fm_08.adx	0x70	4952064	91.65	48000	2	1	615904	4310681	4399119
0x09	STAGE M.BISON	yes	ARRANGE	9	arg_09.adx	0x68	3444736	63.76	48000	2	1	505728	3030795	3060692
0x09	STAGE M.BISON	yes	CPS2	79	CPS2_09.adx	0x58	3084288	57.05	48000	2	1	249856	2737902	2738539
0x09	STAGE M.BISON	yes	CPS1	148	fm_09.adx	0x70	3311616	61.27	48000	2	1	480960	2883142	2940949
0x0a	STAGE BALROG	yes	ARRANGE	10	arg_0a.adx	0x70	3383296	62.60	48000	2	1	282848	2986690	3004647
0x0a	STAGE BALROG	yes	CPS2	80	CPS2_0a.adx	0x58	3031040	56.08	48000	2	1	77504	2691108	2691717
0x0a	STAGE BALROG	yes	CPS1	149	fm_0a.adx	0x6c	3088384	57.17	48000	2	1	283552	2689571	2744324
0x0b	STAGE SAGAT	yes	ARRANGE	11	arg_0b.adx	0x68	4833280	89.44	48000	2	1	453440	4269709	4293299
0x0b	STAGE SAGAT	yes	CPS2	81	CPS2_0b.adx	0x58	4562944	84.44	48000	2	1	309920	4052441	4053022
0x0b	STAGE SAGAT	yes	CPS1	150	fm_0b.adx	0x70	2482176	45.91	48000	2	1	296896	2167742	2203673
0x0c	STAGE VEGA	yes	ARRANGE	12	arg_0c.adx	0x6c	3928064	72.72	48000	2	1	336640	3456684	3490708
0x0c	STAGE VEGA	yes	CPS2	82	CPS2_0c.adx	0x58	3588096	66.42	48000	2	1	120064	3187377	3188023
0x0c	STAGE VEGA	yes	CPS1	151	fm_0c.adx	0x70	3770368	69.80	48000	2	1	332736	3323175	3350547
0x0d	STAGE FEI LONG	yes	ARRANGE	13	arg_0d.adx	0x72	2568192	47.53	48000	2	1	470272	2251497	2281488
