# mbomber_arrange_trigger_map: see REBUILDING.md
0x001b	tr30	Staff Roll	confirmed	
0x0020	tr02	Title	confirmed	
0x0021	tr15	Tokyo (stage 1)	confirmed	
0x0022	tr16	Moscow (stage 2)	confirmed	
0x0023	tr17	Hanover (stage 3)	confirmed	
0x0024	tr18	London (stage 4)	confirmed	
0x0025	tr19	New York (stage 5)	confirmed	
0x0026	tr20	Calgary (stage 6)	confirmed	
0x0027	tr21	Los Angeles (stage 7)	confirmed	
0x0028	tr22	Mexico (stage 8)	confirmed	
0x0029	tr23	Sydney (stage 9)	confirmed	
0x002a	tr05	Theme of Zalazof	confirmed	
0x002b	tr06	Theme of Colt	confirmed	
0x002c	tr09	Theme of Stinger	confirmed	
0x002d	tr08	Theme of Titan	confirmed	
0x002e	tr07	Theme of Budo	confirmed	
0x002f	tr10	Theme of Haggar	confirmed	
0x0030	tr12	Theme of Gomes	confirmed	
0x0031	tr11	Theme of Sheep	confirmed	
0x0032	tr13	Theme of Kimala	confirmed	
0x0033	tr14	Theme of Astro	confirmed	
0x0034	tr03	Player Select	confirmed	
0x0036	tr04	Vs.	confirmed	
0x0039	tr27	CWA OFFICIAL RATINGS screen theme	confirmed	
0x003a	tr25	Continue	confirmed	
0x003b	tr26	Game Over	confirmed	
0x003c	tr24	Victory or Defeat	confirmed	
0x003e	tr28	Ending (1st Time)	confirmed	
0x003f	tr29	Ending (2nd Time)	confirmed	
