char	entry	loop_start_sample	loop_end_sample	loop_len_s	method	quality	fade_begins_s
ryu	e141	96000	2868862	57.768	natural	0.894	96.275
ken	e142	119875	3221165	64.610	natural	0.957	114.650
gouki	e143	72003	2706283	54.881	crossfade	0.749	71.625
nash	e144	3747456	6609834	59.633	crossfade	0.620	138.625
chunli	e145	3431991	5825270	49.860	natural	0.759	131.600
adon	e146	380160	3356736	62.012	natural	0.704	121.475
sodom	e147	815992	3949432	65.280	natural	0.868	86.950
guy	e148	1008000	5301603	89.450	natural	0.622	126.225
birdie	e149	503914	5879892	112.000	crossfade	0.853	125.550
rose	e150	1860945	3863829	41.727	crossfade	0.776	86.500
vega	e151	3480000	6092625	54.430	natural	0.614	127.325
sagat	e152	168000	4390285	87.964	natural	0.626	100.625
dan	e153	240056	4446310	87.630	natural	0.865	97.200
