# sfa2_arrange_trigger_map: see REBUILDING.md
cmd	song
0x01	01
0x02	02
0x03	05
0x04	0C
0x05	07
0x06	06
0x07	09
0x08	08
0x09	04
0x0a	0A
0x0b	03
0x0c	0B
0x0d	0D
0x0e	10
0x0f	11
0x10	12
0x11	0F
0x12	0E
0x13	15
0x14	16
0x15	17
0x16	18
0x17	1A
0x18	19
0x19	1B
0x1a	1C
0x1b	1D
0x1c	20
0x1d	21
0x1e	22
0x1f	27
0x20	2F
0x21	2A
0x22	28
0x23	29
0x24	2C
0x25	2B
0x26	25
0x27	2D
0x28	23
0x29	2E
0x2a	30
0x2b	34
0x2c	35
0x2d	37
0x2e	38
0x2f	33
0x30	31
0x31	32
0x32	39
0x33	3A
0x35	13
0x36	26
0x37	24
0x38	36
0x39	3B
0x3a	1F
