song	intro_bytes	loop_start_frame	loop_len_frames	intro_s	loop_s	format
01	466944	116736	1828864	3.648	57.152	s16be_stereo32000_blk4096
02	425984	106496	1955840	3.328	61.120	s16be_stereo32000_blk4096
03	647168	161792	1765376	5.056	55.168	s16be_stereo32000_blk4096
04	868352	217088	1847296	6.784	57.728	s16be_stereo32000_blk4096
05	237568	59392	1902592	1.856	59.456	s16be_stereo32000_blk4096
06	352256	88064	2078720	2.752	64.960	s16be_stereo32000_blk4096
07	221184	55296	2097152	1.728	65.536	s16be_stereo32000_blk4096
08	1990656	497664	2230272	15.552	69.696	s16be_stereo32000_blk4096
09	1073152	268288	1495040	8.384	46.720	s16be_stereo32000_blk4096
0A	90112	22528	1398784	0.704	43.712	s16be_stereo32000_blk4096
0B	8192	2048	1898496	0.064	59.328	s16be_stereo32000_blk4096
0C	253952	63488	2871296	1.984	89.728	s16be_stereo32000_blk4096
0D	401408	100352	2813952	3.136	87.936	s16be_stereo32000_blk4096
0E	491520	122880	1650688	3.840	51.584	s16be_stereo32000_blk4096
0F	983040	245760	2377728	7.680	74.304	s16be_stereo32000_blk4096
10	319488	79872	1884160	2.496	58.880	s16be_stereo32000_blk4096
11	1974272	493568	2734080	15.424	85.440	s16be_stereo32000_blk4096
12	589824	147456	1662976	4.608	51.968	s16be_stereo32000_blk4096
13	1777664	444416	1947648	13.888	60.864	s16be_stereo32000_blk4096
14	8192	2048	1898496	0.064	59.328	s16be_stereo32000_blk4096
15	0	0	1632256	0.000	51.008	s16be_stereo32000_blk4096
16	1908736	477184	448512	14.912	14.016	s16be_stereo32000_blk4096
17	0	0	225280	0.000	7.040	s16be_stereo32000_blk4096
18	0	0	190464	0.000	5.952	s16be_stereo32000_blk4096
19	0	0	112640	0.000	3.520	s16be_stereo32000_blk4096
1A	262144	65536	309248	2.048	9.664	s16be_stereo32000_blk4096
1B	0	0	139264	0.000	4.352	s16be_stereo32000_blk4096
1C	0	0	176128	0.000	5.504	s16be_stereo32000_blk4096
1D	0	0	450560	0.000	14.080	s16be_stereo32000_blk4096
1E	90112	22528	110592	0.704	3.456	s16be_stereo32000_blk4096
1F	163840	40960	88064	1.280	2.752	s16be_stereo32000_blk4096
20	0	0	960512	0.000	30.016	s16be_stereo32000_blk4096
21	98304	24576	768000	0.768	24.000	s16be_stereo32000_blk4096
22	8093696	2023424	475136	63.232	14.848	s16be_stereo32000_blk4096
23	376832	94208	483328	2.944	15.104	s16be_stereo32000_blk4096
24	393216	98304	1325056	3.072	41.408	s16be_stereo32000_blk4096
25	32768	8192	256000	0.256	8.000	s16be_stereo32000_blk4096
26	360448	90112	411648	2.816	12.864	s16be_stereo32000_blk4096
27	5562368	1390592	344064	43.456	10.752	s16be_stereo32000_blk4096
28	557056	139264	122880	4.352	3.840	s16be_stereo32000_blk4096
29	0	0	1921024	0.000	60.032	s16be_stereo32000_blk4096
2A	4497408	1124352	1124352	35.136	35.136	s16be_stereo32000_blk4096
2B	0	0	1628160	0.000	50.880	s16be_stereo32000_blk4096
2C	2392064	598016	1124352	18.688	35.136	s16be_stereo32000_blk4096
2D	0	0	1921024	0.000	60.032	s16be_stereo32000_blk4096
2E	0	0	1067008	0.000	33.344	s16be_stereo32000_blk4096
2F	0	0	1921024	0.000	60.032	s16be_stereo32000_blk4096
30	0	0	2369536	0.000	74.048	s16be_stereo32000_blk4096
31	3366912	841728	1429504	26.304	44.672	s16be_stereo32000_blk4096
32	90112	22528	225280	0.704	7.040	s16be_stereo32000_blk4096
33	1957888	489472	423936	15.296	13.248	s16be_stereo32000_blk4096
34	212992	53248	1124352	1.664	35.136	s16be_stereo32000_blk4096
35	32768	8192	258048	0.256	8.064	s16be_stereo32000_blk4096
36	65536	16384	516096	0.512	16.128	s16be_stereo32000_blk4096
37	401408	100352	399360	3.136	12.480	s16be_stereo32000_blk4096
38	0	0	960512	0.000	30.016	s16be_stereo32000_blk4096
39	9682944	2420736	268288	75.648	8.384	s16be_stereo32000_blk4096
3A	2973696	743424	3473408	23.232	108.544	s16be_stereo32000_blk4096
3B	1712128	428032	1372160	13.376	42.880	s16be_stereo32000_blk4096
