song	intro_bytes	loop_start_frame	loop_len_frames	intro_s	loop_s	format
01	44982272	11245568	0	255.002	0.000	s16be_stereo44100_blk4096 (44.1k one-shot twin of song 02)
02	38559744	9639936	0	255.025	0.000	s16be_stereo37800_blk4096
03	1220608	305152	1728512	8.073	45.728	s16be_stereo37800_blk4096
04	606208	151552	2408448	4.009	63.716	s16be_stereo37800_blk4096
05	311296	77824	2332672	2.059	61.711	s16be_stereo37800_blk4096
06	229376	57344	2050048	1.517	54.234	s16be_stereo37800_blk4096
07	581632	145408	1583104	3.847	41.881	s16be_stereo37800_blk4096
08	868352	217088	1419264	5.743	37.547	s16be_stereo37800_blk4096
09	1155072	288768	1654784	7.639	43.777	s16be_stereo37800_blk4096
0A	573440	143360	1773568	3.793	46.920	s16be_stereo37800_blk4096
0B	557056	139264	1724416	3.684	45.619	s16be_stereo37800_blk4096
0C	270336	67584	2127872	1.788	56.293	s16be_stereo37800_blk4096
0D	499712	124928	2836480	3.305	75.039	s16be_stereo37800_blk4096
0E	458752	114688	0	3.034	0.000	s16be_stereo37800_blk4096
0F	909312	227328	0	6.014	0.000	s16be_stereo37800_blk4096
10	688128	172032	0	4.551	0.000	s16be_stereo37800_blk4096
11	516096	129024	0	3.413	0.000	s16be_stereo37800_blk4096
12	868352	217088	0	5.743	0.000	s16be_stereo37800_blk4096
13	335872	83968	329728	2.221	8.723	s16be_stereo37800_blk4096
14	229376	57344	1339392	1.517	35.434	s16be_stereo37800_blk4096
15	3481600	870400	0	23.026	0.000	s16be_stereo37800_blk4096
16	385024	96256	1003520	2.546	26.548	s16be_stereo37800_blk4096
17	843776	210944	0	5.581	0.000	s16be_stereo37800_blk4096
18	278528	69632	372736	1.842	9.861	s16be_stereo37800_blk4096
19	1114112	278528	2373632	7.368	62.794	s16be_stereo37800_blk4096
1A	1228800	307200	1732608	8.127	45.836	s16be_stereo37800_blk4096
1B	614400	153600	2447360	4.063	64.745	s16be_stereo37800_blk4096
1C	294912	73728	2238464	1.950	59.219	s16be_stereo37800_blk4096
1D	229376	57344	2056192	1.517	54.397	s16be_stereo37800_blk4096
1E	581632	145408	1587200	3.847	41.989	s16be_stereo37800_blk4096
1F	868352	217088	1421312	5.743	37.601	s16be_stereo37800_blk4096
20	663552	165888	1687552	4.389	44.644	s16be_stereo37800_blk4096
21	581632	145408	1787904	3.847	47.299	s16be_stereo37800_blk4096
22	565248	141312	1748992	3.738	46.270	s16be_stereo37800_blk4096
23	262144	65536	2062336	1.734	54.559	s16be_stereo37800_blk4096
24	499712	124928	2820096	3.305	74.606	s16be_stereo37800_blk4096
25	475136	118784	0	3.142	0.000	s16be_stereo37800_blk4096
26	827392	206848	0	5.472	0.000	s16be_stereo37800_blk4096
27	794624	198656	0	5.255	0.000	s16be_stereo37800_blk4096
28	532480	133120	0	3.522	0.000	s16be_stereo37800_blk4096
29	974848	243712	0	6.447	0.000	s16be_stereo37800_blk4096
2A	90112	22528	344064	0.596	9.102	s16be_stereo37800_blk4096
2B	229376	57344	1370112	1.517	36.246	s16be_stereo37800_blk4096
2C	3432448	858112	0	22.701	0.000	s16be_stereo37800_blk4096
2D	188416	47104	995328	1.246	26.331	s16be_stereo37800_blk4096
2E	622592	155648	0	4.118	0.000	s16be_stereo37800_blk4096
2F	286720	71680	372736	1.896	9.861	s16be_stereo37800_blk4096
30	1130496	282624	2396160	7.477	63.390	s16be_stereo37800_blk4096
