# ssf2_arrange_trigger_map: see REBUILDING.md
cmd	arrange_entry	character	confidence	note
0x01	1	Ken	high	NCC 0.94
0x02	2	Ryu	high	NCC 0.92
0x03	3	E.Honda	high	NCC 0.98
0x04	4	Chun-Li	high	NCC 0.96
0x05	5	Blanka	high	NCC 0.96
0x06	6	Zangief	high	NCC 0.98
0x07	7	Guile	high	NCC 0.97
0x08	8	Dhalsim	high	NCC 0.96
0x09	9	M.Bison	high	NCC 0.98
0x0a	10	Balrog	high	NCC 0.92
0x0b	11	Sagat	high	NCC 0.97
0x0c	12	Vega	high	NCC 0.94
0x0d	13	Fei-Long	high	NCC 0.97
0x0e	14	Cammy	high	NCC 0.93
0x0f	15	T.Hawk	high	NCC 0.79
0x10	16	Dee-Jay	high	NCC 0.93 (in-game anchor: Dee-Jay stage)
0x11	17	STAGE KEN(2)	high	NCC r=0.269 (2nd 0.050)
0x12	18	STAGE RYU(2)	high	NCC r=0.274 (2nd 0.125)
0x13	19	STAGE E.HONDA(2)	high	NCC r=0.330 (2nd 0.059)
0x14	20	STAGE CHUN LI(2)	high	NCC r=0.356 (2nd 0.099)
0x15	21	STAGE BLANKA(2)	high	NCC r=0.417 (2nd 0.081)
0x16	22	STAGE ZANGIEF(2)	high	NCC r=0.584 (2nd 0.069)
0x17	23	STAGE GUILE(2)	high	NCC r=0.558 (2nd 0.120)
0x18	24	STAGE DHALSIM(2)	high	NCC r=0.415 (2nd 0.082)
0x19	25	STAGE M.BISON(2)	high	
0x1a	26	STAGE BALROG(2)	high	NCC r=0.297 (2nd 0.076)
0x1b	27	STAGE SAGAT(2)	high	NCC r=0.601 (2nd 0.067)
0x1c	28	STAGE VEGA(2)	high	NCC r=0.366 (2nd 0.128)
0x1d	29	STAGE FEI LONG(2)	high	NCC r=0.450 (2nd 0.099)
0x1e	30	STAGE CAMMY(2)	high	NCC r=0.349 (2nd 0.103)
0x1f	31	STAGE T.HAWK(2)	high	
0x20	32	STAGE DEE JAY(2)	high	NCC r=0.295 (2nd 0.141)
0x21	33	ENDING KEN(2)	high	matcher floors (r=0.115) but ssf2/ssf2t play IDENTICAL audio here (cross-game r=0.949); assigned by the 45/48 layout bijection
0x22	34	ENDING KEN	high	NCC r=0.187 (2nd 0.061)
0x23	35	ENDING RYU	high	NCC r=0.165 (2nd 0.049)
0x24	36	ENDING E.HONDA	high	NCC r=0.211 (2nd 0.059)
0x25	37	ENDING CHUN LI	high	NCC r=0.185 (2nd 0.074)
0x26	38	ENDING CHUN LI(2)	high	NCC r=0.294 (2nd 0.054)
0x27	39	ENDING BLANKA	high	NCC r=0.374 (2nd 0.053)
0x28	40	ENDING ZANGIEF	high	
0x29	41	ENDING GUILE	high	
0x2a	42	ENDING DHALSIM	high	NCC r=0.316 (2nd 0.064)
0x2b	43	ENDING M.BISON	high	NCC r=0.319 (2nd 0.048)
0x2c	44	ENDING BALROG	high	
0x2d	45	ENDING SAGAT	high	NCC r=0.206 (2nd 0.061)
0x2e	46	ENDING VEGA	high	matcher floors (r=0.069) but ssf2/ssf2t play IDENTICAL audio here (cross-game r=0.910); assigned by the 45/48 layout bijection
0x2f	47	ENDING FEI LONG	high	NCC r=0.191 (2nd 0.043)
0x30	48	ENDING CAMMY	high	NCC r=0.314 (2nd 0.064)
0x31	49	ENDING T.HAWK	high	matcher floors (r=0.065) but ssf2/ssf2t play IDENTICAL audio here (cross-game r=0.854); assigned by the 45/48 layout bijection
0x32	50	ENDING DEE JAY	high	NCC r=0.411 (2nd 0.073)
0x33	51	OPENING DEMO	high	NCC r=0.441 (2nd 0.065)
0x34	52	PLAYER SELECT	high	NCC r=0.274 (2nd 0.094)
0x35	53	VS.	high	NCC r=0.241 (2nd 0.074)
0x36	54	STAGE-END	high	NCC r=0.284 (2nd 0.064)
0x37	55	CONTINUE	high	NCC r=0.195 (2nd 0.084)
0x39	57	GAME OVER	high	NCC r=0.314 (2nd 0.096)
0x3a	58	RANKING	high	NCC r=0.372 (2nd 0.099)
0x3b	59	BONUS STAGE	high	NCC r=0.165 (2nd 0.064)
0x3c	60	STAFF ROLL	high	r=0.17 'tie' is STAFF ROLL vs STAFF ROLL(X) -- the SAME afs entry 130 decoded under two manifest names; vs the true runner-up the margin is 3x
0x3e	62	ENDING CHUN LI(3)	high	NCC r=0.239 (2nd 0.064)
0x3f	63	TOURNAMENT	high	NCC r=0.338 (2nd 0.078)
0xc1	64	CONGRATULATIONS!	high	NCC r=0.189 (2nd 0.050, 3.8x); identical audio in both games
