# SSF2 X68000 external-MIDI preprocessing and loop coordinates.
# source_* values address the unmodified 48 kHz stereo SC-55 FLAC.  Each
# render starts with a stable signed-s16 DC pedestal; the builder validates
# dc_left/dc_right, subtracts it, then discards trim_samples from the start.
# pack_ls/pack_le are (source coordinate - trim_samples - 48000), rounded
# down to the 32-sample ADX grid.  This retains the MIDI-authored loop period
# and one genuine second-pass tail for the CPS+ crossfade.  A dash in all four
# loop fields designates an authored one-shot.  Evidence measured 2026-08-31.
song	source_frames	dc_left	dc_right	trim_samples	source_ls	source_le	pack_ls	pack_le
song00	6734877	1298	1298	70560	3681390	6734877	3562816	6616288
song01	5159460	1298	1298	163680	2838267	5159460	2626560	4947776
song02	6389134	1298	1298	93600	3484936	6389134	3343328	6247520
song03	5458005	1298	1298	84960	2859514	5458005	2726528	5325024
song04	5679423	1298	1298	81120	3046283	5679423	2917152	5550272
song05	5096648	1298	1298	87840	2774789	5096648	2638944	4960800
song06	7357200	1298	1298	160800	4065776	7357200	3856960	7148384
song07	5283378	1298	1298	88800	2687323	5283378	2550496	5146560
song08	5299005	1298	1298	83040	2776378	5299005	2645312	5167936
song09	5684427	1298	1298	77280	3037943	5684427	2912640	5559136
song0a	4331996	1298	1298	201120	2425712	4331996	2176576	4082848
song0b	6410785	1298	1298	133920	3292596	6410785	3110656	6228864
song0c	3746627	1298	1298	90720	1967118	3746627	1828384	3607904
song0d	5350280	1298	1298	81120	2717140	5350280	2588000	5221152
song0e	3966777	1298	1298	145440	2067649	3966777	1874208	3773312
song0f	4170618	1298	1298	132960	2184412	4170618	2003424	3989632
song10	3920037	1298	1298	113760	2019833	3920037	1858048	3758272
song11	2588325	1298	1298	78240	1334448	2588325	1208192	2462080
song12	2776378	1298	1298	83040	1430977	2776378	1299936	2645312
song13	2536800	1298	1298	76320	1308000	2536800	1183680	2412480
song14	2307270	1298	1298	70560	1190181	2307270	1071616	2188704
song15	2679041	1298	1298	80160	1381013	2679041	1252832	2550880
song16	5096078	1298	1298	78240	2588325	5096078	2462080	4969824
song17	4712371	1298	1298	72480	2393884	4712371	2273376	4591872
song18	2546023	1298	1298	145440	1349142	2546023	1155680	2352576
song19	5557701	1298	1298	69600	2814850	5557701	2697248	5440096
song1a	2171999	1298	1298	92640	1133311	2171999	992640	2031328
song1b	4994400	1298	1298	76320	2536800	4994400	2412480	4870080
song1c	2881088	1298	1298	85920	1484726	2881088	1350784	2747168
song1d	2588325	1298	1298	78240	1334448	2588325	1208192	2462080
song1e	1875000	1298	1298	135840	1299000	1875000	1115136	1691136
song1f	2026052	1298	1298	116640	1403350	2026052	1238688	1861408
song20	4110092	1298	1298	159840	-	-	-	-
song21	2325188	1298	1298	116640	1344764	2325188	1180096	2160544
song22	3303852	1298	1298	258720	-	-	-	-
song23	2963413	1298	1298	137760	1839511	2963413	1653728	2777632
song24	1307753	1298	1298	114720	-	-	-	-
song25	1138815	1298	1298	109920	-	-	-	-
song26	1697142	1298	1298	74400	1079999	1697142	957568	1574720
song27	1148371	1298	1298	64800	612558	1148371	499744	1035552
song28	2740703	1298	1298	45600	1588703	2740703	1495072	2647072
song29	1073142	1298	1298	80160	-	-	-	-
song2a	1519113	1298	1298	124320	-	-	-	-
song2b	2732047	1298	1298	87840	1708048	2732047	1572192	2596192
song2c	1717892	1298	1298	98400	909472	1717892	763072	1571488
song2d	2344368	1298	1298	91680	-	-	-	-
song2e	2806101	1298	1298	97440	1807479	2806101	1662016	2660640
song2f	5467497	1298	1298	100320	2998927	5467497	2850592	5319168
song30	3738276	1298	1298	154080	-	-	-	-
song31	2742854	1298	1298	52320	1426284	2742854	1325952	2642528
song32	1539627	1298	1298	119520	-	-	-	-
song33	1022190	1298	1298	168480	-	-	-	-
song34	295382	1298	1298	95520	-	-	-	-
song35	361875	1298	1298	87840	-	-	-	-
song36	1012702	1298	1298	75360	545675	1012702	422304	889312
song37	184614	1298	1298	80160	-	-	-	-
song38	190476	1298	1298	88800	-	-	-	-
song39	162002	1298	1298	69600	-	-	-	-
song3a	737556	1298	1298	25440	-	-	-	-
song3b	7957878	1298	1298	35040	4395780	7957878	4312736	7874816
song3c	2233681	1298	1298	73440	1425261	2233681	1303808	2112224
song3d	2022494	1298	1298	118560	1082087	2022494	915520	1855904
song3e	265845	1298	1298	85920	-	-	-	-
