# ssf2t_arrange_trigger_map: see REBUILDING.md
cmd	arrange_entry	character	confidence	note
0x01	1	Ken	high	NCC 0.94
0x02	2	Ryu	high	NCC 0.92
0x03	3	E.Honda	high	NCC 0.98
0x04	4	Chun-Li	high	NCC 0.96
0x05	5	Blanka	high	NCC 0.96
0x06	6	Zangief	high	NCC 0.98 (in-game anchor: Zangief stage)
0x07	7	Guile	high	NCC 0.97
0x08	8	Dhalsim	high	NCC 0.96
0x09	9	M.Bison	high	NCC 0.98
0x0a	10	Balrog	high	NCC 0.92
0x0b	11	Sagat	high	NCC 0.97
0x0c	12	Vega	high	NCC 0.94
0x0d	13	Fei-Long	high	NCC 0.97
0x0e	14	Cammy	high	NCC 0.93
0x0f	15	T.Hawk	high	NCC 0.79
0x10	16	Dee-Jay	high	NCC 0.93
0x11	17	STAGE KEN(2)	high	NCC r=0.478 (2nd 0.051)
0x12	18	STAGE RYU(2)	high	NCC r=0.594 (2nd 0.125)
0x13	19	STAGE E.HONDA(2)	high	NCC r=0.502 (2nd 0.060)
0x14	20	STAGE CHUN LI(2)	high	NCC r=0.354 (2nd 0.098)
0x15	21	STAGE BLANKA(2)	high	NCC r=0.650 (2nd 0.082)
0x16	22	STAGE ZANGIEF(2)	high	NCC r=0.585 (2nd 0.071)
0x17	23	STAGE GUILE(2)	high	NCC r=0.567 (2nd 0.135)
0x18	24	STAGE DHALSIM(2)	high	NCC r=0.410 (2nd 0.089)
0x19	25	STAGE M.BISON(2)	high	NCC r=0.194 (2nd 0.063)
0x1a	26	STAGE BALROG(2)	high	NCC r=0.452 (2nd 0.080)
0x1b	27	STAGE SAGAT(2)	high	NCC r=0.606 (2nd 0.066)
0x1c	28	STAGE VEGA(2)	high	NCC r=0.477 (2nd 0.140)
0x1d	29	STAGE FEI LONG(2)	high	NCC r=0.458 (2nd 0.099)
0x1e	30	STAGE CAMMY(2)	high	NCC r=0.359 (2nd 0.105)
0x1f	31	STAGE T.HAWK(2)	high	
0x20	32	STAGE DEE JAY(2)	high	NCC r=0.453 (2nd 0.146)
0x21	33	ENDING KEN(2)	high	matcher floors (r=0.116) but ssf2/ssf2t play IDENTICAL audio here (cross-game r=0.949); assigned by the 45/48 layout bijection
0x22	34	ENDING KEN	high	NCC r=0.318 (2nd 0.056)
0x23	35	ENDING RYU	high	NCC r=0.277 (2nd 0.048)
0x24	36	ENDING E.HONDA	high	NCC r=0.364 (2nd 0.061)
0x25	37	ENDING CHUN LI	high	NCC r=0.185 (2nd 0.072)
0x26	38	ENDING CHUN LI(2)	high	NCC r=0.305 (2nd 0.054)
0x27	39	ENDING BLANKA	high	NCC r=0.368 (2nd 0.055)
0x28	40	ENDING ZANGIEF	high	NCC r=0.242 (2nd 0.066)
0x29	41	ENDING GUILE	high	
0x2a	42	ENDING DHALSIM	high	NCC r=0.407 (2nd 0.062)
0x2b	43	ENDING M.BISON	high	NCC r=0.329 (2nd 0.051)
0x2c	44	ENDING BALROG	high	
0x2d	45	ENDING SAGAT	high	NCC r=0.375 (2nd 0.059)
0x2e	46	ENDING VEGA	high	matcher floors (r=0.083) but ssf2/ssf2t play IDENTICAL audio here (cross-game r=0.910); assigned by the 45/48 layout bijection
0x2f	47	ENDING FEI LONG	high	NCC r=0.198 (2nd 0.046)
0x30	48	ENDING CAMMY	high	NCC r=0.327 (2nd 0.064)
0x31	49	ENDING T.HAWK	high	matcher floors (r=0.066) but ssf2/ssf2t play IDENTICAL audio here (cross-game r=0.854); assigned by the 45/48 layout bijection
0x32	50	ENDING DEE JAY	high	NCC r=0.426 (2nd 0.070)
0x33	51	OPENING DEMO	high	NCC r=0.449 (2nd 0.066)
0x34	52	PLAYER SELECT	high	NCC r=0.459 (2nd 0.090)
0x35	53	VS.	high	
0x36	54	STAGE-END	high	
0x37	55	CONTINUE	high	NCC r=0.468 (2nd 0.114)
0x39	57	GAME OVER	high	
0x3a	58	RANKING	high	
0x3b	59	BONUS STAGE	high	NCC r=0.322 (2nd 0.063)
0x3c	60	STAFF ROLL	high	r=0.17 'tie' is STAFF ROLL vs STAFF ROLL(X) -- the SAME afs entry 130 decoded under two manifest names; vs the true runner-up the margin is 3x
0x3e	62	ENDING CHUN LI(3)	high	NCC r=0.283 (2nd 0.063)
0x3f	63	TOURNAMENT	high	
0xc1	64	CONGRATULATIONS!	high	NCC r=0.189 (2nd 0.050, 3.8x); identical audio in both games
0xd3	65	PLAYER SELECT(X)	high	NCC r=0.484 (2nd 0.111) -- Turbo's own select theme
0xd4	66	OPENING DEMO(X)	high	NCC r=0.362 (2nd 0.073) -- Turbo's own opening
0xd5	67	STAGE GOUKI	high	NCC r=0.577 (2nd 0.094)
0xd6	68	STAGE GOUKI(2)	high	NCC r=0.604 (2nd 0.077)
