# t_start	t_end	wav_s	text
807	2016	77.68	あるのは、市長、マイク・ハガーは、シティエを正義やる街にするため、巨大な暴力集団、マットギアに徹底的な攻撃を加えた。
2016	2285	97.86	だが、彼を待っていたのが、もっとも秘劣な報復だった。
2285	2466	102.36	ピッ!
2466	2970	105.38	1992年…
2970	3072	113.79	マイク・ハガーだ!
3072	3384	115.49	へへへ、市長さんよ、初めてお耳にかかるな、オッツト!
3384	3794	120.69	切ると後悔するぜ、なんせ娘の命がかかる…
3794	4036	127.54	ジェシカに何をした?
4036	4873	131.58	まあ、焦るぜ。そこにあるテレビをつけてみればわかるかもやはやり過ぎた。
4873	5148	145.54	街は今まで通り、ボルタチ・マットギアの好きにされてもらおうぜ。
5148	5502	150.14	これ以上、警察を介入させるなら、ジェシカの命はないと。
5502	5734	156.04	うっはっはっは!
5734	6491	159.92	ジェシカがさらわれたの!
6491	6652	172.54	ジェシカ?
6652	6706	175.24	幼馴染?
6706	6963	176.14	ぶっ潰してやるぜ!
6963	7333	180.42	接車も助け立ちいたす!
7333	7381	186.6	ジェシカ!
