# t_start	t_end	wav_s	text
-1498	706	1.71	Metro City, a well-known crime capital, has been ruled by violence and death for many years.
706	1203	38.48	A fact which the newly elected mayor and former street fighter Mike Hager plans to change.
1203	1585	46.78	At the center of the problem is the huge gang known as Mad Gear.
1585	1885	53.16	Mad Gear controls all of the major criminal activity in the city.
1885	2389	58.16	When they learned of Hager's plans, they took immediate action to bring this new mayor under their control.
2389	3179	66.57	Sometime in 1999, Mike Hager here.
3179	3358	79.75	Mr. Hager.
3358	3538	82.75	So pleased to make your acquaintance.
3538	3658	85.75	I believe you know who I am.
3658	3778	87.75	Don't hang up.
3778	3958	89.75	We have a little business proposition.
3958	4225	92.75	Your daughter for your cooperation.
4225	4465	97.22	And we'll throw in the regular monthly bonus to your salary.
4465	4791	101.22	What? What happened to Jessica? Who is this?
4791	4971	106.66	Not so fast, Mike.
4971	5091	109.66	Turn on your TV.
5091	5545	111.66	You son of a...what have you done to her?
5545	5665	119.24	Nothing yet.
5665	5844	121.24	But we'd enjoy the opportunity.
5844	5964	124.24	Listen to reason, man.
5964	6144	126.24	Why make your job difficult?
6144	6324	129.24	Just let it do as we please.
6324	7138	132.24	Like the mayor before you did.
7138	7257	145.82	Bye. Jessica was kidnapped.
7257	7317	147.82	Jessica?
7317	7497	148.82	My sweetheart since childhood.
7497	7617	151.82	The Mad Gear must pay.
7617	7737	153.82	She's my friend too.
7737	7797	155.82	Count me in.
