PAL 00 ff70 fa00 fb00 fc40 fd61 fd82 fda4 fdb6 f008 fff8 ffd7 ffb6 ffa5 ff94 ff80 f000
PAL 01 fee7 fff0 ff00 f111 feee f740 fa60 fc93 ffc4 fff5 f420 f641 f862 fa83 fcb5 f000
PAL 02 f111 fbf0 ff00 f111 feee fec9 fdb7 fc95 fa74 f852 f632 f830 fe60 ff90 ffc0 fcc6
PAL 03 f008 f7f7 ff00 f111 feee fbcd f9ab f789 f567 f0a0 fa0a f808 f8ff f0cc f080 f000
PAL 04 f444 f0fb ff00 f111 feee fbcd f9ab f789 f567 faaa f888 f666 feee fbbb f884 f000
PAL 05 f444 f0dc ff00 f111 feee fbcd f9ab f789 f567 faaa f888 f666 ffa4 fc66 f888 f000
PAL 06 f909 facd ff00 f111 feee f000 f000 f000 f008 ffcf feae fd8d fc6c fb4b fa2a f000
PAL 07 f7ee ffce ff00 f111 feee fcee faee f0ee f9ee f8ee f024 f146 f268 f38a f5bc f000
PAL 08 ffff ffff ff00 f111 feee f000 f000 f000 f800 f999 faaa fbbb fccc fddd feee f000
PAL 09 f111 ffd9 ffb8 fe97 fd86 fc75 fa63 f852 f740 f630 f8ac fddd ff50 fc30 fa00 f000
PAL 10 f432 ffda feb8 fc86 fb75 f964 f853 f740 f600 fffd fcdb f9b9 f8a8 f8ac f686 f000
PAL 11 f432 ffda feb8 fc86 fb75 f964 f853 f740 f600 fffd f9de f8bc faba f488 f888 f000
PAL 12 f111 ffda ffb9 ffa8 fe87 fc76 fb65 f954 f843 f730 f8ac feee faa9 f776 f554 f000
PAL 13 f111 ffd0 feb0 fc90 f970 f760 f650 fb44 fddd fbbb f999 f777 f580 f460 f005 f000
PAL 14 f37f f000 f006 f111 feee f000 f000 f000 f008 fcff fadf f8bf f6af f59f f48f f000
PAL 15 fa00 facd f600 f111 ff40 f000 f000 f000 f500 ff30 fe20 fd10 fc00 fb00 fa00 f000
PAL 16 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000
PAL 17 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000
PAL 18 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000
PAL 19 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000
PAL 20 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000
PAL 21 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000
PAL 22 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000
PAL 23 f800 f000 ff00 f000 fe00 fb00 f900 f700 f500 fa00 fa00 f800 ff00 fc00 f800 f000
PAL 24 f700 f000 fe00 f000 fd00 fa00 f800 f600 f400 f900 f900 f700 fe00 fb00 f700 f000
PAL 25 f600 f000 fd00 f000 fc00 f900 f700 f500 f300 f800 f800 f600 fd00 fa00 f600 f000
PAL 26 f800 f000 ff00 f000 fe00 fb00 f900 f700 f500 fa00 fa00 f800 ff00 fc00 f800 f000
PAL 27 f400 f000 fb00 f000 fa00 f700 f500 f300 f100 f600 f600 f400 fb00 f800 f400 f000
PAL 28 f300 f000 fa00 f000 f900 f600 f400 f200 f100 f500 f500 f300 fa00 f700 f300 f000
PAL 29 f200 f000 f900 f000 f800 f500 f300 f100 f100 f400 f400 f200 f900 f600 f200 f000
PAL 30 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000 f000
PAL 31 f546 f6de ffff fbbb f888 ffe0 ffc0 ffb0 ffa0 ff90 ff80 ff70 ff60 ff50 ff40 f000
