# FRAME NUMBERS ARE VM FRAMES (-1436 from the VM sweep).
# shot	f_start	f_end	seconds	still_tiles	cross_tiles	distinct_images	colours
0	164	904	12.3	343	2304	10	16
1	914	964	0.8	1	1	1	1
2	974	2124	19.2	83	9309	69	12
3	2134	2134	0.0	155	155	1	3
4	2144	2994	14.2	376	2241	13	9
5	3004	3114	1.8	1	511	5	1
6	3124	3124	0.0	350	350	1	30
7	3134	5424	38.2	360	711	13	30
8	5434	5434	0.0	2	2	1	2
9	5444	5514	1.2	1	62	2	1
10	5524	5524	0.0	203	203	1	29
11	5534	5534	0.0	351	351	1	34
12	5544	6764	20.3	380	1885	27	34
13	6774	7204	7.2	27	126	6	7
14	7214	7214	0.0	131	131	1	16
15	7224	7254	0.5	317	475	4	30
16	7264	8064	13.3	406	1594	25	30
17	8074	8074	0.0	433	433	1	22
18	8084	8174	1.5	2	638	4	2
19	8184	8184	0.0	2	2	1	2
20	8194	8204	0.2	1	74	2	1
